model,learning_rate,batch_size,seq_len,units_1,units_2,time_sec,accuracy,precision,recall,f1,roc_auc,val_loss,stopped_epoch
lstm,0.001,64,30,256,128,2.4,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.550650386550497,0.8961494074013955,23
lstm,0.001,32,30,64,32,2.5,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5490129156951773,0.8961479255066064,24
lstm,0.001,16,30,64,32,5.1,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5441963737881949,0.8960444833583758,25
lstm,0.0001,64,30,256,128,2.8,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5401928150693336,0.8962390911533458,26
lstm,0.0001,64,30,128,64,1.6,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5511795925880476,0.8961522752754533,27
lstm,0.001,64,15,128,64,3.4,0.412,0.38583815028901736,0.9434628975265018,0.5476923076923077,0.5340455959019681,0.8914550173418604,57
lstm,0.0001,32,30,64,32,3.0,0.4791946308724832,0.3984819734345351,0.7473309608540926,0.5198019801980198,0.5392877960485949,0.8965183197310145,29
lstm,0.0001,8,30,64,32,9.9,0.5234899328859061,0.40512820512820513,0.5622775800711743,0.47093889716840537,0.5359361578107743,0.8962324120075766,25
lstm,0.0001,16,30,64,32,5.4,0.5275167785234899,0.4037940379403794,0.5302491103202847,0.4584615384615385,0.537389557000859,0.8964132132201359,27
lstm,0.001,16,30,256,128,10.7,0.5812080536912752,0.4251207729468599,0.31316725978647686,0.36065573770491804,0.5522686832740213,0.8939449599876258,30
lstm,0.001,32,30,128,64,4.1,0.5798657718120805,0.41578947368421054,0.28113879003558717,0.3354564755838641,0.540702846975089,0.8946285839281777,34
lstm,0.0001,8,30,256,128,18.2,0.5812080536912752,0.40372670807453415,0.2313167259786477,0.29411764705882354,0.5225947969075959,0.8949150653177751,26
lstm,0.0001,32,60,64,32,3.3,0.5855978260869565,0.41007194244604317,0.20357142857142857,0.2720763723150358,0.5420582706766918,0.8955353697141012,31
